OBJECTID,STREET_NAME,LENGTH_MILES,STATUS,COMPKEY,CATALYTIC_PROJECTS,NETWORK,DATE_COMPLETED,EXISTING_FACILITY_TYPE,PLANNED_FACILITY_TYPE,PROJECT_NUMBER,DATE_PLANNED,DATE_EXPIRED,SHAPE_Length
40214,34TH AVE,0.0890596,MEETS,5210,0,LOCAL,2012-12-31T00:00:00.000Z,"In Street, Minor Separation",,0,,,470.234680381131
40220,S JACKSON ST,0.06096636,MEETS,20483,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,,0,,,321.902370382303
40224,DUWAMISH RIVER TRL,0.24805331,MEETS,286970,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,1309.72146377016
40225,BURKE GILMAN TRL,0.06108417,MEETS,287243,0,CITYWIDE,1980-12-31T00:00:00.000Z,Multi-use Trail,,0,,,322.524442683722
40229,NW 65TH ST,0.05056632,MEETS,18624,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,,0,,,266.990157346453
40233,BEACON ER AVE S,0.11311041,MEETS,167134,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,597.222979071854
40234,BURKE GILMAN TRL,0.46703307,MEETS,287238,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,2465.9345900229
40237,BEACON ER AVE S,0.03364521,MEETS,167594,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,177.646685371541
40248,ELLIOTT BAY TRL,0.06137451,MEETS,287058,0,CITYWIDE,2008-12-31T00:00:00.000Z,Multi-use Trail,,0,,,324.057432556018
40249,BURKE GILMAN TRL,0.01111389,MEETS,287193,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,58.6813320976609
40251,E UNION ST,0.04925068,MEETS,14910,0,LOCAL,2008-12-31T00:00:00.000Z,Sharrow,,0,,,260.043578917469
40252,N NORTHLAKE WAY,0.1114431,MEETS,16128,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,588.41955565552
40256,NW 65TH ST,0.02503213,MEETS,18611,0,LOCAL,2012-12-31T00:00:00.000Z,Sharrow,,0,,,132.169642702278
40259,S JACKSON ST,0.03322439,MEETS,20486,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,,0,,,175.424774586891
40261,ALKI TRL,0.67256039,MEETS,287002,1,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,3551.11886757296
40262,BURKE GILMAN TRL,0.02871352,MEETS,287188,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,151.607406239359
40263,MOUNT RAINIER DR S,0.04049492,MEETS,336724,0,LOCAL,2009-12-31T00:00:00.000Z,Sharrow,,0,,,213.813161043488
40264,MELROSE CONNECTOR TRL,0.16332775,MEETS,287047,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,862.370542971021
40265,MELROSE CONNECTOR TRL,0.06738637,MEETS,287046,0,CITYWIDE,1990-12-31T00:00:00.000Z,Multi-use Trail,,0,,,355.800018312498
40266,BEACON WR AVE S,0.05552804,MEETS,9137,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,293.188060956342
40267,E UNION ST,0.04923675,MEETS,14909,0,LOCAL,2008-12-31T00:00:00.000Z,Sharrow,,448,,,259.970034333725
40268,BEACON ER AVE S,0.05551735,MEETS,167428,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,293.131609496026
40271,2ND AVE NE,0.07384488,MEETS,2798,0,LOCAL,2011-12-31T00:00:00.000Z,Sharrow,,0,,,389.900985313188
40273,BEACON ER AVE S,0.113382,MEETS,268934,0,LOCAL,2007-12-31T00:00:00.000Z,Sharrow,,0,,,598.656962052858
40274,BURKE GILMAN TRL,0.64315315,MEETS,287227,1,CITYWIDE,1970-12-31T00:00:00.000Z,Multi-use Trail,,0,,,3395.84865361261
